,2.7225E7
US60855RAG56,8712000.0
US47010BAA26,7623000.0
US693656AA80,8712000.0
US398905AK59,7623000.0
US26817RAM07,3.1581E7
US82967NAS71,2.2869E7
US23320AAE29,3267000.0
US163851AD01,1.0890001E7
US78572XAE13,6534000.0
US526057BU74,4356000.0
US12543DAQ34,1.6335001E7
US00130HBS31,1.4157001E7
US184496AL16,1.3068E7
US23291AAA51,1.1979E7
US412690AE97,9801001.0
US165167CT21,1.4157001E7
US48088LAA52,8712000.0
US912909AK46,1.5246E7
US251525AM33,2.0691002E7
US05578MAA09,2.3958E7
US639365AG06,6534000.0
US82967NAW83,1.4157001E7
US39479TAA43,1.1979E7
US1248EPBM40,3.9204004E7
US045054AC71,8712000.0
US92769XAL91,1.5246E7
US55303MAA71,6534000.0
US05351LAG23,2178000.0
US013822AA98,1.0890001E7
US758766AH24,1.1979E7
US18451QAL23,8712000.0
US15672JAA16,2.1780002E7
US62947QAW87,1.6335001E7
US91359PAJ93,9801001.0
US013817AW16,1.8513E7
US12508EAD31,6534000.0
US609453AG02,8712000.0
US32008DAB29,3.4848E7
US969457BV14,1.0890001E7
US02154CAE30,4.2471E7
US806261AJ29,9801001.0
US030981AJ33,9801001.0
US78454LAH33,2178000.0
US629377CB63,1.7424E7
US53219LAM19,1.4157001E7
US701885AD73,8712000.0
US92553PBD33,8712000.0
US449934AD05,1.7424E7
US12768XAA28,1.3068E7
US899415AC75,1.0890001E7
US20605PAD33,9801001.0
US00928QAM33,6534000.0
US457030AJ39,9801001.0
US600814AM98,7623000.0
US748767AF75,1.0890001E7
US62943WAB54,5445000.5
US893830BE80,1.9602002E7
US31430QBE61,6534000.0
US62947QAU22,1.9602002E7
US014477AR46,1.1979E7
US206519AA88,4356000.0
US91829KAA16,3.1581E7
US404119BR91,3.9204004E7
US88047PAA21,1.0890001E7
US444454AC64,9801001.0
US404030AE85,8712000.0
US268648AQ50,2.7225E7
US75606DAC56,5445000.5
US983130AT23,1.0890001E7
US17186LAA17,7623000.0
US92240MBF41,1.3068E7
US878742AY10,9801001.0
US25470XAJ46,3.1581E7
US431318AQ79,5445000.5
US00687YAA38,1.4157001E7
US50106GAA04,1.3068E7
US02005NAW02,1.4157001E7
US75508EAA64,6534000.0
US019736AD97,1.4157001E7
US55303XAC92,2.0691002E7
US25470XAY13,3.5937004E7
US899415AA10,6534000.0
US85172FAD15,1.0890001E7
US120111BN87,1.6335001E7
US45672WAA99,1.3068E7
US817610AA64,1.0890001E7
US98954UAB98,9801001.0
US87612BAR33,8712000.0
US382550BE09,1.4157001E7
US93317WAC64,4356000.0
US97314XAJ37,7623000.0
US12646RAB15,6534000.0
US78442FES39,1.4157001E7
US86400GAB59,1.1979E7
US858119BD11,4356000.0
US85207UAF21,6.7518008E7
US382550BG56,8712000.0
US00766TAD28,1.1979E7
US75966CAA53,7623000.0
US911365BF09,2178000.0
US421924BK63,1.7424E7
US64110LAM81,1.4157001E7
US87264AAK16,2.9403002E7
US156700BA34,1.5246E7
US70014LAA89,2.6136E7
US29357KAC71,6534000.0
US983130AV78,3.0492E7
US553283AB86,2.5047002E7
US513272AB00,1.0890001E7
US35671DBD66,4356000.0
US86765LAC19,1.1979E7
US82967NAU28,1.4157001E7
US881609BB61,1.4157001E7
US83001AAA07,1.1979E7
US682680AR43,7623000.0
US163851AB45,1.7424E7
US458204AP96,8712000.0
US552704AC21,1.1979E7
US29358QAD16,9801001.0
US446413AG16,7623000.0
US947075AJ68,1.4157001E7
US904311AA54,7623000.0
US67054KAA79,7.9497008E7
US464592AQ77,5445000.5
US150191AF13,6534000.0
US044209AF18,1.8513E7
US460599AB91,2.3958E7
US62886EAH18,6534000.0
US126634AC86,6534000.0
US745867AX94,9801001.0
US23422RAA05,7623000.0
US428040CP20,9801001.0
US552953BX80,1.5246E7
US1248EPBT92,3.1581E7
US36740PAA12,1.5246E7
US361841AF69,2178000.0
US38046XAC74,9801001.0
US466112AR07,1.4157001E7
US02155FAC95,2.1780002E7
US62886EAJ73,1.3068E7
US20854PAN96,6534000.0
US494580AF06,9801001.0
US404119BN87,2.9403002E7
US1248EPBR37,9801001.0
US552697AQ73,1.1979E7
US07556QBJ31,7623000.0
US12543DAY67,7623000.0
US00928QAK76,8712000.0
US47232MAA09,7623000.0
US78412FAP99,1.1979E7
US878742BC80,7623000.0
US64110LAL09,1.3068E7
US156700AS50,2.0691002E7
USG77636AB74,1.1979E7
US205768AP99,1.0890001E7
US92536AAA51,7623000.0
US35671DAZ87,2.5047002E7
US527298BK81,1.1979E7
US561233AB31,1.0890001E7
US552704AD04,8712000.0
US432836AA29,1.4157001E7
US86765LAG23,1.3068E7
US858119BE93,1089000.0
US78573NAB82,1.1979E7
US87612BAY83,2178000.0
US203372AM95,1.0890001E7
US058498AS54,9801001.0
US03969AAL44,2.3958E7
US88104LAA17,1.6335001E7
US654677AB94,2178000.0
US63860UAK60,8712000.0
US94946TAC09,1.0890001E7
US02155EAA64,1.0890001E7
US45827AAA16,6534000.0
US29250NAN57,1.1979E7
US85172FAJ84,1.3068E7
US501797AL82,1.3068E7
US038522AP34,1.0890001E7
US23918KAP30,8712000.0
US84762LAU98,1.5246E7
US361841AB55,7623000.0
US87266LAA70,8712000.0
US92553PBC59,8712000.0
US29414DAA81,8712000.0
US12429TAC80,8712000.0
US914906AP73,1.5246E7
US12513GBC24,5445000.5
US013093AC31,1.7424E7
US78454LAK61,9801001.0
US97381WAZ77,7623000.0
US501797AJ37,3267000.0
US78442FEQ72,1.1979E7
US780099CH81,3.2670002E7
US87264AAP03,3.3759004E7
US131347CF14,2.5047002E7
US45672NAF87,5445000.5
US45332JAA07,1.7424E7
US15911NAA37,1.4157001E7
US727493AB41,6534000.0
US336130AA74,8712000.0
XS1022807256,1.6335001E7
US989194AM79,2.2869E7
US683715AB22,1.5246E7
US226373AL21,8712000.0
US389375AJ52,9801001.0
US78478EAA64,6534000.0
US00213MAN48,1089000.0
US88160QAN34,1.3068E7
US361841AH26,1.4157001E7
US46284VAA98,8712000.0
US74840LAA08,1.6335001E7
US857691AD10,6534000.0
US340630AA06,1.3068E7
US15137NAA19,7623000.0
US00101JAF30,9801001.0
US44267DAA54,8712000.0
US44701QAZ54,9801001.0
US72766QAC96,6534000.0
US35906AAW80,3.3759004E7
US780153AU63,8712000.0
US48207LAA17,1.5246E7
US156700AW62,1.5246E7
US779382AU43,7623000.0
